age,gender,race_minority,years_education,disability,disease,anios_en_calle,family_contact,recieves_help,drug_consumption,avg_age_drug_consumption,lgbt_minority,ln_years_street
41.0,1,0,7.0,1,0,10.0,0,0,1,15.0,0,2.302585092994046
52.0,1,0,2.0,1,0,5.25,0,1,1,15.0,0,1.6582280766035324
53.0,1,0,7.0,1,1,35.0,0,1,1,23.375,0,3.5553480614894135
74.0,1,0,15.0,0,1,3.0,0,1,0,0.0,0,1.0986122886681098
51.0,1,0,2.0,0,0,7.166666666666667,0,1,1,15.0,0,1.9694406464655074
73.0,1,0,2.0,1,0,14.0,0,1,0,0.0,0,2.6390573296152584
37.0,1,0,2.0,1,1,29.0,0,0,0,0.0,1,3.367295829986474
24.0,1,0,13.0,1,0,0.5,1,1,1,17.75,0,-0.6931471805599453
34.0,1,0,7.0,0,0,1.0,1,0,1,17.0,0,0.0
60.0,1,0,13.0,1,0,8.0,1,0,1,29.0,0,2.0794415416798357
75.0,1,0,15.0,1,0,30.0,0,1,1,15.0,0,3.4011973816621555
51.0,1,0,7.0,1,0,6.333333333333333,1,1,1,16.0,0,1.8458266904983307
24.0,1,0,7.0,1,0,0.3333333333333333,1,1,1,15.0,0,-1.0986122886681098
26.0,1,0,2.0,0,0,0.6666666666666666,1,0,1,17.0,0,-0.40546510810816444
49.0,1,0,2.0,0,0,8.0,1,1,1,15.0,0,2.0794415416798357
67.0,1,0,2.0,1,1,15.0,0,1,1,15.0,0,2.70805020110221
28.0,1,0,2.0,0,1,14.0,1,1,1,16.2,0,2.6390573296152584
32.0,1,0,11.0,0,0,0.4166666666666667,0,0,1,15.0,0,-0.8754687373538999
24.0,1,0,7.0,1,1,2.5,1,0,1,16.666666666666668,1,0.9162907318741551
55.0,1,0,2.0,1,0,15.0,1,1,1,28.0,0,2.70805020110221
43.0,0,0,7.0,1,1,30.0,1,1,1,15.75,1,3.4011973816621555
38.0,1,0,7.0,0,0,0.5833333333333334,1,0,1,27.0,0,-0.5389965007326869
17.0,0,0,7.0,0,0,4.0,0,1,1,15.5,0,1.3862943611198906
60.0,1,0,11.0,1,0,40.0,0,0,0,0.0,0,3.6888794541139363
50.0,1,0,2.0,1,1,3.3333333333333335,1,1,1,28.4,0,1.2039728043259361
39.0,1,1,7.0,1,0,1.1666666666666667,1,0,1,18.0,1,0.15415067982725836
34.0,1,0,2.0,1,0,20.0,1,1,1,15.0,0,2.995732273553991
29.0,1,0,15.0,1,0,14.0,1,0,1,15.0,0,2.6390573296152584
46.0,1,0,2.0,1,0,10.0,1,1,0,0.0,0,2.302585092994046
25.0,1,0,15.0,1,0,4.0,0,0,1,15.0,0,1.3862943611198906
38.0,1,0,7.0,1,0,3.0,0,1,1,23.75,0,1.0986122886681098
51.0,1,0,11.0,1,1,0.6666666666666666,1,0,1,15.0,0,-0.40546510810816444
25.0,0,0,11.0,1,0,11.0,1,1,1,15.0,0,2.3978952727983707
36.0,0,0,15.0,0,0,4.0,0,1,1,20.666666666666668,0,1.3862943611198906
30.0,1,0,15.0,1,0,3.0,1,1,1,20.0,0,1.0986122886681098
